Назва,"Довідник підприємств, установ (закладів), організацій розпорядника інформації та підпорядкованих йому організацій, у тому числі їх телефонів та адрес"
Опис,"Набір даних містить перелік підприємств, установ (закладів), організацій, що безпосередньо підпорядковані розпорядникові, та їх контактні дані. Набір складається з чотирьох таблиць. organization.csv - перелік підприємств, організацій, закладів та установ, які безпосередньо підпорядковані розпоряднику. contactPoint.csv - перелік контактних осіб для кожної з організацій, вказаних у таблиці organization.csv, їх телефонів, факсів та адрес електронної пошти. contactPointHoursAvailable.csv - години прийому для кожної контактної особи з таблиці contactPoint.csv. organizationHoursAvailable.csv - години прийому для кожної організації з другої organization.csv."
Ключові слова,"довідник, адреса, телефон, пошта, контакти, код ЄДРПОУ розпорядника"
Категорія,"держава, довідкова інформація"
Тип даних,структуровані
Мова,українська
Основний формат,CSV 
Можливі формати,"XML, JSON"
Формат стиснення,не потребує стиснення
Частота оновлення,у випадку змін у даних
Розпорядник,вказати
Відповідальна особа,вказати
E-mail відповідальної особи,вказати
Пов’язані набори,"Інформація про організаційну структуру розпорядника інформації, Єдиний державний реєстр юридичних осіб, фізичних осіб - підприємців та громадських формувань, Класифікатор об’єктів адміністративно-територіального устрою України (КОАТУУ)"
Ліцензія,Зазначення Авторства 4.0 Міжнародна (CC BY 4.0)